UID1;UID2;UID3;UID4;UID5;UID6;UID7;UID8;UID9;UID10;UID11;UID12;UID13;UID14;UID15;UID16;UID17;UID18;UID19;UID20;UID21;UID22;UID23;UID24;UID25;UID26;UID27;UID28;UID29;UID30;UID31;UID32;UID33;UID34;UID35;Latitude;Longitude;Timestamp;Clusterid
0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;-1;-1;0.0428571429;48.1618;11.58639;1517999405.52217;0
0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;0.0428571429;0.0428571429;0.0428571429;0.0428571429;-1;-1;-1;0.0428571429;48.16181;11.58639;1517999406.52247;0
0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;48.16181;11.58639;1517999407.52232;0
0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;-1;0.0714285714;48.16181;11.58639;1517999408.52266;0
0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;-1;0.0714285714;48.16181;11.58639;1517999409.52258;0
0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;-1;0.0714285714;48.16181;11.58639;1517999410.52195;0
0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;48.16181;11.58639;1517999411.52253;0
0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;48.16181;11.58639;1517999412.52254;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16181;11.58639;1517999413.5291;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16181;11.58639;1517999414.52257;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16181;11.58639;1517999415.52198;0
0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;-1;-1;0.1571428571;48.16181;11.58639;1517999416.52252;3
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16181;11.58639;1517999417.52252;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16186;11.58642;1517999418.52238;0
0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;48.16186;11.58642;1517999419.52242;0
0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;0.0571428571;0.0571428571;0.0571428571;0.0571428571;-1;-1;-1;0.0571428571;48.16186;11.58642;1517999420.52273;0
0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;-1;0.1142857143;48.16188;11.58642;1517999421.52258;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16188;11.58642;1517999422.52237;0
0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;-1;-1;0.1714285714;48.16188;11.58642;1517999423.52268;3
0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;0.1714285714;0.1714285714;0.1714285714;0.1714285714;-1;-1;-1;0.1714285714;48.16188;11.58642;1517999424.52262;3
0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;0.1857142857;-1;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;-1;-1;0.1857142857;48.16188;11.58642;1517999425.52196;3
0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;0.1857142857;-1;0.1857142857;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;0.1857142857;0.1857142857;0.1857142857;0.1857142857;-1;-1;-1;0.1857142857;48.1619;11.58644;1517999426.52461;3
0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;0.1142857143;0.1142857143;0.1142857143;0.1142857143;-1;-1;-1;0.1142857143;48.1619;11.58644;1517999427.52259;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16192;11.58645;1517999428.52188;0
0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;-1;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;-1;0.3714285714;-1;0.3714285714;0.3714285714;0.3714285714;0.3714285714;0.3714285714;-1;0.3714285714;0.3714285714;0.3714285714;0.3714285714;-1;-1;-1;0.3714285714;48.16192;11.58645;1517999429.52255;2
0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;0.3857142857;-1;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;-1;-1;0.3857142857;48.16192;11.58645;1517999430.522;2
0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;0.3857142857;-1;0.3857142857;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;0.3857142857;0.3857142857;0.3857142857;0.3857142857;-1;-1;-1;0.3857142857;48.16195;11.58645;1517999431.52444;2
0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;-1;-1;0.1571428571;48.16195;11.58645;1517999432.5226;3
0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;-1;-1;0.1571428571;48.16198;11.58647;1517999433.52259;3
0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;0.1571428571;0.1571428571;0.1571428571;0.1571428571;-1;-1;-1;0.1571428571;48.16198;11.58647;1517999434.52244;3
0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;-1;0.0714285714;48.16198;11.58647;1517999435.5222;0
0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;0.0714285714;0.0714285714;0.0714285714;0.0714285714;-1;-1;-1;0.0714285714;48.162;11.58648;1517999436.52281;0
0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;0.2571428571;0.2571428571;0.2571428571;0.2571428571;-1;-1;-1;0.2571428571;48.162;11.58648;1517999437.5224;1
0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;48.162;11.58648;1517999438.52261;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16203;11.58649;1517999439.52274;0
0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;-1;0.1;-1;0.1;0.1;0.1;0.1;0.1;-1;0.1;0.1;0.1;0.1;-1;-1;-1;0.1;48.16203;11.58649;1517999440.5224;0
0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;-1;-1;0.2428571429;48.16205;11.5865;1517999441.52166;1
0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;0.2428571429;0.2428571429;0.2428571429;0.2428571429;-1;-1;-1;0.2428571429;48.16205;11.5865;1517999442.52179;1
0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;-1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;-1;0.2;-1;0.2;0.2;0.2;0.2;0.2;-1;0.2;0.2;0.2;0.2;-1;-1;-1;0.2;48.16205;11.5865;1517999443.52177;1
0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;0.0857142857;0.0857142857;0.0857142857;0.0857142857;-1;-1;-1;0.0857142857;48.16208;11.58651;1517999444.52188;0
